"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Concierge","neutral","Avani Hotel","July","2023","5","positive"
"Concierge ","neutral","Avani Hotel","June","2023","5","positive"
"Average hotel","neutral","Avani Hotel","July","2022","3","neutral"
"High level hotel with some limitations","positive","Avani Hotel","March","2022","5","positive"
"Amazing stay","positive","Avani Hotel","June","2023","5","positive"
"We finally made to Avani Rooftop","positive","Avani Hotel","February","2023","5","positive"
"Me.","neutral","Avani Hotel","January","2023","4","positive"
"Efficient service","positive","Avani Hotel","October","2022","4","positive"
"Pleasant experience at the roof top bar","positive","Avani Hotel","July","2023","5","positive"
"Junias Imalwa","neutral","Avani Hotel","July","2022","5","positive"
"Great Stay","positive","Avani Hotel","April","2022","5","positive"
"Good Experience","positive","Avani Hotel","January","2023","4","positive"
"Justina’s performance","positive","Avani Hotel","October","2022","5","positive"
"Good food and nice services.","positive","Avani Hotel","October","2023","5","positive"
"Experience","neutral","Avani Hotel","July","2022","5","positive"
"Excellent service","positive","Avani Hotel","February","2023","4","positive"
"Eliphas","neutral","Avani Hotel","August","2022","5","positive"
"Great stay!","positive","Avani Hotel","July","2023","5","positive"
"Strati’s rooftop","neutral","Avani Hotel","June","2023","5","positive"
"Excellent Service","positive","Avani Hotel","September","2022","5","positive"
"Stratos","neutral","Avani Hotel","November","2023","5","positive"
"Best guys at Avani Rosy and Jurgen","positive","Avani Hotel","October","2022","5","positive"
"Very professional staff","positive","Avani Hotel","July","2023","4","positive"
"Stratos","neutral","Avani Hotel","September","2023","4","positive"
"Centrale e moderno","neutral","Avani Hotel","June","2019","4","positive"
"Good central business hotel","positive","Avani Hotel","October","2019","4","positive"
"Frustrating Arrival","negative","Avani Hotel","August","2019","3","neutral"
"Wonderful.","positive","Avani Hotel","December","2023","5","positive"
"Shanice. Shanice ","neutral","Avani Hotel","November","2023","5","positive"
"Pantry awesome service","positive","Avani Hotel","October","2023","5","positive"
"Great stay with Avani Windhoek hotel with ShaleenKuuoko and Manfred and Saima.. beautiful hotel to stay at will recomme","positive","Avani Hotel","September","2023","5","positive"
"Awesome experience","positive","Avani Hotel","September","2023","5","positive"
"Pantry seevice","neutral","Avani Hotel","August","2023","5","positive"
"Great stay","positive","Avani Hotel","July","2023","4","positive"
"Stratos","neutral","Avani Hotel","June","2023","4","positive"
"Sunset chaser’s delight","positive","Avani Hotel","June","2023","5","positive"
"Beautiful view ","positive","Avani Hotel","June","2023","5","positive"
"Ms","neutral","Avani Hotel","May","2023","5","positive"
"Graduation Weekend get-away","positive","Avani Hotel","April","2023","5","positive"
"Séjour agréable chez Avani Hotel","neutral","Avani Hotel","April","2023","4","positive"
"Good Business hotel","positive","Avani Hotel","March","2023","5","positive"
"Outstanding service from pantry","positive","Avani Hotel","March","2023","4","positive"
"MANETTI","neutral","Avani Hotel","February","2023","4","positive"
"Above and beyond service","neutral","Avani Hotel","February","2023","5","positive"
"MOHSS","neutral","Avani Hotel","February","2023","4","positive"
"Ndozu","neutral","Avani Hotel","January","2023","5","positive"
"Samoline fantastic work and service. Keep it up!","positive","Avani Hotel","November","2022","5","positive"
"Thanks to Front office lady Chuma and Stratos lady Justine. Thank you for your hospitality and friendliness.","positive","Avani Hotel","January","2023","5","positive"
"Great check in","positive","Avani Hotel","January","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Rovey van Vuuren","neutral","Avani Hotel","December","2022","5","positive"
"Outstanding service","positive","Avani Hotel","December","2022","5","positive"
"Botswana Prison Service","negative","Avani Hotel","November","2022","5","positive"
"Great venue city center and great wifi","positive","Avani Hotel","November","2022","5","positive"
"Un gran hotel en el centro de Windhoek","neutral","Avani Hotel","August","2022","4","positive"
"Mr Charles Hill","neutral","Avani Hotel","October","2022","5","positive"
"I have a week staying with Avani and I am from Botswanait’s good to be in your nicely located facility","positive","Avani Hotel","October","2022","5","positive"
"Checking was nice With Reception","positive","Avani Hotel","October","2022","5","positive"
"Business","neutral","Avani Hotel","October","2022","5","positive"
"Excellent Service from Rosy from check on up until check out. She is the best assisting each person with so much smile ","positive","Avani Hotel","October","2022","5","positive"
"Lature","neutral","Avani Hotel","September","2022","5","positive"
"Regular","neutral","Avani Hotel","September","2022","3","neutral"
"Immaculate staff","positive","Avani Hotel","August","2022","5","positive"
"Great place in Namibia:)","positive","Avani Hotel","July","2022","5","positive"
"Windhoek Main City","positive","Avani Hotel","April","2022","4","positive"
"Zentrale Lage große und saubere Zimmer tolle Rooftopbar","neutral","Avani Hotel","November","2021","5","positive"
"Avani hospitality","positive","Avani Hotel","March","2020","4","positive"
"Bien placé","neutral","Avani Hotel","November","2019","5","positive"
"Namibia Business trip","neutral","Avani Hotel","October","2019","5","positive"
"Great service","positive","Avani Hotel","August","2019","5","positive"
"sehr gut","neutral","Avani Hotel","July","2019","5","positive"
"Average Hotel","neutral","Avani Hotel","March","2019","3","neutral"
"AWESOME","positive","Avani Hotel","May","2019","5","positive"
"Avani : la meilleure adresse de Windhoek","neutral","Avani Hotel","April","2019","5","positive"
"Nice","positive","Avani Hotel","February","2019","4","positive"
