"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Great hotel","positive","Hilton Hotel","February","2023","4","positive"
"Experience to treasure","positive","Hilton Hotel","February","2020","5","positive"
"Great hotel for stopover.","positive","Hilton Hotel","February","2023","5","positive"
"Don’t bother","negative","Hilton Hotel","August","2022","3","neutral"
"Nice hotel in the city","positive","Hilton Hotel","October","2019","5","positive"
"整體而言還不錯","neutral","Hilton Hotel","July","2019","4","positive"
"Super Hotel - Mega rooftop Pool und Bar ","positive","Hilton Hotel","February","2020","5","positive"
"Great hotel😁","positive","Hilton Hotel","August","2019","5","positive"
"Average for a Hilton but fine for a night","positive","Hilton Hotel","April","2019","3","neutral"
"Première et dernière nuit de notre trip en Namibie ","neutral","Hilton Hotel","February","2019","5","positive"
"Der ideale Aufenthalt für Windhoek","neutral","Hilton Hotel","June","2023","5","positive"
"Ottima struttura perfettamente nei canoni Hilton","neutral","Hilton Hotel","August","2022","5","positive"
"Decent stay","positive","Hilton Hotel","November","2021","4","positive"
"Super enttäuscht","positive","Hilton Hotel","November","2020","2","negative"
"Parfait... Si seulement tous les services vantés avaient été accessibles !","neutral","Hilton Hotel","December","2019","4","positive"
"Could be better for the price","positive","Hilton Hotel","December","2019","2","negative"
"Best Hotel Staff In Windhoek","positive","Hilton Hotel","October","2019","5","positive"
"Premium hotel in Windhoek","neutral","Hilton Hotel","August","2019","4","positive"
"Good location","positive","Hilton Hotel","July","2019","3","neutral"
"Gutes Hotel. Ruhig in der Nacht.","neutral","Hilton Hotel","August","2019","4","positive"
"Great and cozy hotel","positive","Hilton Hotel","June","2019","5","positive"
"Centrale comodo accogliente!","neutral","Hilton Hotel","June","2019","5","positive"
"Excellent hotel with room for improvement","positive","Hilton Hotel","May","2019","4","positive"
"Very good overnight stay","positive","Hilton Hotel","April","2019","4","positive"
"Hilton Windhoek","neutral","Hilton Hotel","March","2019","3","neutral"
"Erstklassiges Hotel indem man sich super wohlfühlt hat aber seinen Preis","positive","Hilton Hotel","February","2019","4","positive"
"Good hotel centrally located","positive","Hilton Hotel","January","2019","4","positive"
"Good entry point to your Namibia adventure","positive","Hilton Hotel","April","2022","4","positive"
"Best Modern Hotel in Windhoek","positive","Hilton Hotel","July","2021","5","positive"
"The best Hilton in all Namibia","positive","Hilton Hotel","May","2022","5","positive"
"Great stopover hotel","positive","Hilton Hotel","September","2023","4","positive"
"Excellent service","positive","Hilton Hotel","September","2022","4","positive"
"Enjoyable Staff at Hilton Windhoek","positive","Hilton Hotel","October","2019","4","positive"
"Excellent Serivce ","positive","Hilton Hotel","June","2019","4","positive"
"Room stank of cigarettes ","neutral","Hilton Hotel","January","2020","3","neutral"
"Always good","positive","Hilton Hotel","August","2019","4","positive"
"Utmärkta rum i central miljö - hög standard","neutral","Hilton Hotel","February","2019","5","positive"
"Negatives spoiled the positives","negative","Hilton Hotel","January","2019","2","negative"
"Standard's Slipping ","neutral","Hilton Hotel","May","2023","3","neutral"
"Schlechtester Aufenthalt in einem Hilton Hotel","neutral","Hilton Hotel","August","2022","2","negative"
"Karelia","neutral","Hilton Hotel","November","2021","5","positive"
"A excelência dos hotéis Hilton","positive","Hilton Hotel","March","2020","5","positive"
"Super Hotel mit guter Lage","positive","Hilton Hotel","January","2020","5","positive"
"Nicht für alte Leute und Behinderte geeignet.","neutral","Hilton Hotel","December","2019","1","negative"
"Early Check in & Nice Birthday Attention","positive","Hilton Hotel","October","2019","4","positive"
"First class","neutral","Hilton Hotel","September","2019","5","positive"
"Very good hotel and restaurant","positive","Hilton Hotel","August","2019","5","positive"
"Business meeting","neutral","Hilton Hotel","July","2019","5","positive"
"Excellent","positive","Hilton Hotel","April","2019","5","positive"
"Excellent Hotel in City Center","positive","Hilton Hotel","May","2019","5","positive"
"My stay was good but could be better","positive","Hilton Hotel","May","2019","4","positive"
"Urban comfort at the end of a self-drive safari","positive","Hilton Hotel","April","2019","5","positive"
"Good place to stay as starting point for yr excursions","positive","Hilton Hotel","January","2019","5","positive"
"Great hotel!","positive","Hilton Hotel","January","2019","5","positive"
"unefficient service","neutral","Hilton Hotel","March","2020","3","neutral"
"Something wrong here","negative","Hilton Hotel","August","2023","2","negative"
"Great place to start a Namibia tour","positive","Hilton Hotel","July","2022","4","positive"
"The perfect self-love stay","positive","Hilton Hotel","November","2022","5","positive"
"Hilton Windhoek","neutral","Hilton Hotel","April","2021","5","positive"
"Very pleasant hotel","positive","Hilton Hotel","December","2019","4","positive"
"Great hotel","positive","Hilton Hotel","September","2023","5","positive"
"Sehr gute Lage für den Besuch von Windhoek im Zentrum.","neutral","Hilton Hotel","December","2020","4","positive"
"Great! Hightly recommended","positive","Hilton Hotel","March","2022","5","positive"
"Great location","positive","Hilton Hotel","October","2019","4","positive"
"Così così ","neutral","Hilton Hotel","May","2019","3","neutral"
"Very nice hotel","positive","Hilton Hotel","January","2020","5","positive"
"Non all'altezza di un Hotel a 5 stelle","neutral","Hilton Hotel","July","2019","3","neutral"
"Good stop off in and out of Namibia","positive","Hilton Hotel","March","2019","4","positive"
"Loved our stay here","positive","Hilton Hotel","January","2019","5","positive"
"Schöner Auftakt einer tollen Reise","neutral","Hilton Hotel","April","2023","4","positive"
"Excelente hotel localização e vistas","neutral","Hilton Hotel","July","2022","5","positive"
"So far the worts Hilton i visited","neutral","Hilton Hotel","October","2021","1","negative"
"great location and price","positive","Hilton Hotel","January","2020","4","positive"
"Perfect stay with Sylvester party","positive","Hilton Hotel","December","2019","5","positive"
"Amazing 5 night stay","positive","Hilton Hotel","December","2019","5","positive"
"Zentrales Hotel","neutral","Hilton Hotel","October","2019","4","positive"
"Mostly positive","positive","Hilton Hotel","May","2019","4","positive"
"What a visit","positive","Hilton Hotel","August","2019","5","positive"
"外とは別世界のシティホテル","neutral","Hilton Hotel","July","2019","4","positive"
"Muito bom","neutral","Hilton Hotel","June","2019","5","positive"
"perfekt als letzter tag vor dem rückflug","neutral","Hilton Hotel","June","2019","5","positive"
"Good place to stay","positive","Hilton Hotel","May","2019","4","positive"
"Pool not heated - despite being told so. Breakfast very good - sky bar lousy (employees didnt know the products)","positive","Hilton Hotel","April","2019","3","neutral"
